GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,#indicator+value+num,,,,,
MDG_0000000030,Smear-positive tuberculosis case-detection rate (%),,PUBLISHED,Published,,2000,2000,,AFR,Africa,,,2000,2000,,,ZWE,Zimbabwe,,39 [33-49],39.00000,33.00000,49.00000,,,
MDG_0000000030,Smear-positive tuberculosis case-detection rate (%),,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,ZWE,Zimbabwe,,24 [20-30],24.00000,20.00000,30.00000,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1990,1990,,AFR,Africa,,WB_LI,1990,1990,Low-income,,ZWE,Zimbabwe,,9132,9132.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1992,1992,,AFR,Africa,,WB_LI,1992,1992,Low-income,,ZWE,Zimbabwe,,16237,16237.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1993,1993,,AFR,Africa,,WB_LI,1993,1993,Low-income,,ZWE,Zimbabwe,,20125,20125.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1995,1995,,AFR,Africa,,WB_LI,1995,1995,Low-income,,ZWE,Zimbabwe,,30831,30831.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1996,1996,,AFR,Africa,,WB_LI,1996,1996,Low-income,,ZWE,Zimbabwe,,35735,35735.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1998,1998,,AFR,Africa,,WB_LI,1998,1998,Low-income,,ZWE,Zimbabwe,,47077,47077.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1999,1999,,AFR,Africa,,WB_LI,1999,1999,Low-income,,ZWE,Zimbabwe,,50138,50138.00000,,,,,
